"","lambdaMainC[1]","lambdaMainC[2]","lambdaMainC[3]","lambdaMainC[4]","lambdaMainC[5]","lambdaMainC[6]","lambdaCrossC[1]","lambdaCrossC[2]","lambdaCrossC[3]","lambdaCrossC[4]","lambdaCrossC[5]","lambdaCrossC[6]","PsiC[1,2]","theta[1]","theta[2]","theta[3]","theta[4]","theta[5]","theta[6]","parameter","prior","sigma","N","iteration"
"14",1.00446206687497,0.985793685085842,0.993462999610657,0.984208499744522,1.07078459183965,0.986685428627189,1.0177306060543,1.00856879270226,0.985752285429068,0.986857192136739,0.985523104072165,0.983958657386399,1.66666419352819,0.982817624555016,1.00798315806902,0.993553779952249,1.13967757365368,0.995348392647099,0.983699515140747,"Rhat","SVNP",0.01,200,2
"15",145.645093652718,148.703283023065,126.433472508664,64.8080980134933,77.7998080691533,106.651337595534,78.7928745478351,99.2522949033872,197.204553410847,57.2235419171009,87.5028332471241,101.368407977765,8.38979284702716,112.926178665234,72.8633421630385,123.172497219817,100.122496048042,104.560728919545,152.660717167856,"n_eff","SVNP",0.01,200,3
"16",0.994583232089069,0.982645643185075,0.997059614508638,1.00359601862676,0.998287911659875,1.00641567941304,0.985937507654111,1.00032254070817,0.992702285948191,0.998949120925209,0.982109271558735,1.00245985919621,1.47386807346355,0.995783128161394,1.00829373826121,0.989286401918024,0.998013751076965,1.01492797763186,0.998364088968048,"Rhat","SVNP",0.01,200,3
"17",137.056045781475,149.656289750293,115.833622382587,200,74.9784543364332,200,44.5033457062323,165.564951848463,111.454210739438,109.425994927043,79.9232725366574,97.6107150589906,21.2365250625799,113.174820327647,102.185933744739,49.9074579166082,93.1035308444625,161.225198374195,60.1985318305751,"n_eff","SVNP",0.01,200,4
"18",0.981617717968682,1.0203357362581,0.996171681803218,0.9948431427003,1.01332975291134,0.981600756731481,1.06664295071196,0.99055437597803,1.00847479772507,0.999761274520507,1.0046518775523,1.00680810116212,1.13117907555981,1.00491739075609,1.01052765957696,1.02861376470434,0.985166730667857,0.993481264127052,0.994866488359952,"Rhat","SVNP",0.01,200,4
"19",156.766917325002,58.5353593315873,82.8019557801554,94.740683974079,119.898796223337,75.2639635003334,99.9883987582959,104.557943413227,103.16805293644,66.8711571427469,92.8852052949229,103.00320864975,23.3399182664628,175.776715002107,69.9646385251621,67.380207174885,65.685060540579,81.7059144173445,200,"n_eff","SVNP",0.01,200,5
"20",0.992352066498798,1.05078894848324,0.992427346380704,0.993171956396949,0.989025917280623,1.00130001999173,0.999033912130794,0.991365161805658,1.00639926638978,0.996220663314248,0.982821184240831,0.993721076767072,1.02022094699471,0.987049583622507,0.999065130344211,1.01490164744597,1.00109499029114,0.997922337938992,0.984314661327278,"Rhat","SVNP",0.01,200,5
"21",137.75687009435,89.2551307051714,87.7471868567912,72.2967523105333,102.841983460404,101.06427149788,94.1880594675237,97.8016034187698,149.249190138514,128.03075298762,113.074551515736,200,1.917366219615,46.5336139523561,87.2453995909773,72.2444195433141,35.1717091977915,40.9151696030822,56.4980949516388,"n_eff","SVNP",0.001,200,1
"22",1.01141975727929,0.982003746455663,0.991363920970885,1.00638705090285,0.991046174097614,0.987376080038446,1.00644240661571,1.01583677638843,1.00380158896778,0.986904216565572,0.994184643693199,0.982517437884775,1.57598311679104,1.01870589132685,0.98076632689127,1.01721375322937,1.03605666885514,1.01091632718496,1.01266138393987,"Rhat","SVNP",0.001,200,1
"23",132.020589110334,138.777910878498,71.3835924392662,96.351956601009,77.7030807639679,81.218252563533,163.855381710539,122.485529170037,115.893510631511,113.362949997984,107.206448043982,57.4808478628386,14.8935238021481,78.6930819192285,46.1860016875899,32.1084103243209,45.9498189223584,94.5060465665657,134.288733346896,"n_eff","SVNP",0.001,200,2
"24",0.985175038460634,0.999546306827035,1.00260766347976,0.999254501785634,1.00099871549651,0.9972217674454,0.995696227670878,0.979978613273572,0.999667576119176,0.985712849663195,0.983286505845326,1.02439153978604,1.03297834608972,1.00997734443063,1.01497808030898,1.02828762722604,1.03189337600743,0.995401833954049,0.983009120524937,"Rhat","SVNP",0.001,200,2
"25",154.423582237733,102.208244677434,92.9907869276845,63.4155876040476,102.908272843636,126.919137807645,125.865340656283,111.072858827672,97.6493137782199,88.0836253929969,103.393491886484,125.47682307695,5.83627259800624,9.7812851354164,83.1509595183109,56.5050735687328,22.671925722595,71.8535710220931,145.763074249357,"n_eff","SVNP",0.001,200,3
"26",0.996418758393656,0.990225960016404,1.03490723346856,1.00577007402184,1.00046604209512,1.01405261163291,0.982243354419743,1.0048887805292,1.00376274532573,0.99567190649515,1.00155845345545,0.984635178629705,1.5821747168014,1.08894837606521,0.983834837815338,1.02821565885171,1.0968407084993,1.05506949522951,0.986834880725369,"Rhat","SVNP",0.001,200,3
"27",128.035438570473,185.44095582455,176.620114738159,33.2196087319205,118.906481660483,124.207090717412,105.834175112321,103.599484093826,92.3340378095993,73.1800115927041,170.843800241081,85.0405489597007,8.64223157393288,185.535777752026,114.27476383456,118.114982042214,15.3528559909349,86.5905197165275,84.5863910843318,"n_eff","SVNP",0.001,200,4
"28",1.0008944520737,0.981978058158603,0.986311171016589,1.06381550700984,0.99626451291498,0.999209458859793,0.990326250556839,0.987327277940658,0.99613868142724,1.01927069962111,0.991219924584194,0.999196813250659,1.3386322080434,0.981104786843012,0.986425853965758,1.0047362283047,1.18523500276382,1.00860501747685,1.00193986937619,"Rhat","SVNP",0.001,200,4
"29",182.016830711176,114.163647434505,95.0947479637333,116.780776106546,119.219059165243,126.929715353144,90.6170218608362,92.1850509705998,64.8624151422249,94.2714427973094,71.3527587374302,90.3354501574916,2.17946008749183,81.929973310352,9.71350857510896,46.1723450446923,32.6723618205638,92.5717849958087,114.54827715411,"n_eff","SVNP",0.001,200,5
"30",1.00194823410357,1.01572476224644,0.987919218027526,0.997983972691158,1.00051769264992,0.988268489471148,0.997991985895109,1.00211054955262,1.01262017063363,0.998254274348461,0.996910875539101,1.03261460107457,1.50644053892748,1.02345651231862,1.09312472899827,1.04423241510788,1.06103013794494,1.00887439795494,1.00178800760794,"Rhat","SVNP",0.001,200,5
