"mainEstMean_1" "mainEstMean_2" "mainEstMean_3" "mainEstMean_4" "mainEstMean_5" "mainEstMean_6" "crossEstMean_1" "crossEstMean_2" "crossEstMean_3" "crossEstMean_4" "crossEstMean_5" "crossEstMean_6" "thetaEstMean_1" "thetaEstMean_2" "thetaEstMean_3" "thetaEstMean_4" "thetaEstMean_5" "thetaEstMean_6" "25%_1" "25%_2" "25%_3" "25%_4" "25%_5" "25%_6" "75%_1" "75%_2" "75%_3" "75%_4" "75%_5" "75%_6" "2.5%_1" "2.5%_2" "2.5%_3" "2.5%_4" "2.5%_5" "2.5%_6" "97.5%_1" "97.5%_2" "97.5%_3" "97.5%_4" "97.5%_5" "97.5%_6" "corrEstMean" "prior" "sigma" "N" "cross" "iteration"
0.42407851 0.63467223 0.44409314 0.40682402 0.187215317 0.10062335064 0.00223423207 0.00615322274 -0.00083873126 -0.00081388045 -0.00133868972 0.01095453746 0.30477452 0.3498533 0.52582051 0.26273053 0.42719283 0.35352031 -0.018233375 -0.010873175 -0.0298899 -0.01682345 -0.01630115 -0.010882075 0.0205384 0.026715175 0.02427555 0.019492125 0.0189633 0.035199975 -0.04441213 -0.0645481525 -0.0610352075 -0.0538558425 -0.0531981875 -0.05887749 0.0546006574999999 0.06066586 0.0517260374999999 0.0454518375 0.0398605625 0.0707968275 0.82556573 "SVNP" 0.0316227766016838 100 0.5 1
0.48532474 0.70933093 0.66982544 0.52505847 0.44901677 0.247122099 0.0076585017 0.0011894860551 0.001626456517 -0.0025450794 -0.00373667036 0.00270472811 0.38206207 0.38052223 0.4101345 0.28541174 0.39805984 0.31555359 -0.0192089 -0.01567275 -0.017140725 -0.017743725 -0.02001025 -0.0156636 0.029303475 0.022885425 0.022761125 0.015584475 0.015764675 0.0194466 -0.0598557075 -0.0726589825 -0.055669945 -0.061139305 -0.0559413325 -0.052809875 0.0737200399999999 0.0558258774999999 0.0622179274999999 0.0444345875 0.0460760849999999 0.063771955 0.96314252 "SVNP" 0.0316227766016838 100 0.5 2
0.53531237 0.53952641 0.6413472 0.51794576 0.2020205875 0.235391921 0.00186564029 0.00450440695 0.0054505144 0.0032922248 0.00219011886 0.00142371754 0.34090315 0.36364496 0.43540762 0.245900004 0.38822631 0.29520462 -0.01706625 -0.019927925 -0.02254115 -0.014883 -0.015181225 -0.013735475 0.01853375 0.02939445 0.0238363 0.019164575 0.02511685 0.017412175 -0.0445607775 -0.0446314075 -0.062105775 -0.05281772 -0.0485004925 -0.0482515475 0.0630028975 0.05324429 0.0715536525 0.0511071875 0.0531665625 0.0423814075 0.83015288 "SVNP" 0.0316227766016838 100 0.5 3
0.48474758 0.79846301 0.5021077 0.57322195 0.32094146 0.252970332 0.01081839485 0.01303040408 -0.004975482383 0.00072040656 0.00429713221 0.00497481975 0.35223353 0.263369961 0.5255294 0.259481603 0.67133039 0.37444799 -0.0089140925 -0.0020981975 -0.02347475 -0.0152641 -0.0143135 -0.015457325 0.025655125 0.02633475 0.0133071 0.019997725 0.02471165 0.0307148 -0.0325260025 -0.0530388125 -0.0667809775 -0.0529515075 -0.0586659575 -0.0546478175 0.0718025625 0.065036435 0.062738455 0.0471010125 0.0631327999999999 0.0572945075 0.77000584 "SVNP" 0.0316227766016838 100 0.5 4
0.37484383 0.63150172 0.43996707 0.52588585 0.267491339 0.189038423 -0.00219235361 -0.000856036939 0.00264577458 -0.00241616104 0.00180825534 0.00110816031 0.30435914 0.365550826 0.4930618 0.211010726 0.36240035 0.29275564 -0.021874325 -0.019336325 -0.01867295 -0.02686265 -0.0175054 -0.030691425 0.01556815 0.02156385 0.022967175 0.0197935 0.021502625 0.02460895 -0.05241104 -0.068058575 -0.0536710925 -0.0691637225 -0.049686405 -0.0554831925 0.0526404725 0.053139425 0.0576816199999999 0.0653942525 0.05033537 0.0738638424999999 0.91137631 "SVNP" 0.0316227766016838 100 0.5 5
0.55708968 0.76276129 0.42542985 0.200230208 0.327229122 0.230077007 9.90992300000001e-05 0.01060406985 -0.007939975767 0.009220703627 -0.0033760767 -0.00764154357 0.29610153 0.360843895 0.31356754 0.29775561 0.34115122 0.264059 -0.018772125 -0.0052075375 -0.031370975 -0.0081622325 -0.0252034 -0.02434475 0.021574625 0.031394875 0.0140841 0.022536975 0.017640025 0.008636795 -0.05397729 -0.0467244375 -0.068603245 -0.0429749725 -0.06471257 -0.0555623625 0.0544647125 0.0597287724999999 0.0466951574999999 0.071867945 0.0640824349999999 0.0341809525 0.63716165 "SVNP" 0.0316227766016838 100 0.2 1
0.47630405 0.8838149 0.38410727 0.307778777 0.33048457 0.29216519 0.01736146032 -0.00363221464 -0.00514442775 -0.006530748564 0.00230097756 0.00938498254 0.25658515 0.246139121 0.44087481 0.28008454 0.44428732 0.28107431 0.000563364 -0.02584655 -0.02336615 -0.027095925 -0.0180166 -0.013976175 0.03559565 0.01897535 0.01429535 0.00911587 0.020006375 0.03185485 -0.048545575 -0.0676778225 -0.0596471925 -0.0570943725 -0.04677252 -0.0543224275 0.0691220325 0.0585740625 0.0522721675 0.0614907425 0.05058302 0.0729613725 0.63663101 "SVNP" 0.0316227766016838 100 0.2 2
0.50005656 0.68355146 0.3789442 0.41592044 0.46464885 0.31341314 0.0073706511 0.00206301463 -0.00946192565 -0.01502429738 0.00120031681 0.016802071763 0.41235629 0.294387176 0.33887547 0.149046421 0.345707 0.25571667 -0.0149426 -0.022435225 -0.02841305 -0.036999525 -0.026555175 -0.0010669065 0.029507775 0.026733675 0.012543325 0.00858365 0.026235025 0.03277925 -0.0458318225 -0.0571850725 -0.0753912675 -0.078953385 -0.069218595 -0.0562648275 0.0537627725 0.0617681775 0.047776825 0.0520789499999999 0.06459657 0.0841023524999999 0.32423651 "SVNP" 0.0316227766016838 100 0.2 3
0.62237962 0.65417262 0.42794763 0.268008224 0.328514933 0.34058597 0.00798615422 -0.00403111242 0.0061169006 -0.00052267856 -0.006500521223 0.01083627959 0.29464897 0.34998836 0.42524707 0.21950989 0.29814267 0.27218936 -0.010448125 -0.021773975 -0.0175022 -0.016675375 -0.023489225 -0.007372435 0.030006575 0.0158303 0.028623225 0.01717945 0.0099720175 0.032032475 -0.0524334025 -0.068665005 -0.057364065 -0.0493501725 -0.055104505 -0.0397241375 0.0679676175 0.0586817575 0.09188396 0.0433544075 0.033118815 0.0651940299999999 0.6752764 "SVNP" 0.0316227766016838 100 0.2 4
0.69210083 0.801445 0.39566134 0.2146353009 0.57392153 0.208950521 0.00643404438 -0.0042471775 0.00148932659 0.00385255672 -0.010203072656 0.02143781866 0.272019562 0.46853644 0.37672351 0.32917802 0.304102377 0.32458835 -0.01128395 -0.02416895 -0.018292825 -0.016768675 -0.029927175 -0.003037825 0.031041125 0.01235795 0.019194675 0.020562875 0.012366425 0.039767075 -0.060762805 -0.05695338 -0.0467677625 -0.047754645 -0.06405126 -0.0528310175 0.0528569475 0.0625098925 0.0547637849999999 0.0682681949999999 0.04689845 0.103338025 0.46641085 "SVNP" 0.0316227766016838 100 0.2 5
