"lambdaMainC[1]" "lambdaMainC[2]" "lambdaMainC[3]" "lambdaMainC[4]" "lambdaMainC[5]" "lambdaMainC[6]" "lambdaCrossC[1]" "lambdaCrossC[2]" "lambdaCrossC[3]" "lambdaCrossC[4]" "lambdaCrossC[5]" "lambdaCrossC[6]" "PsiC[1,2]" "theta[1]" "theta[2]" "theta[3]" "theta[4]" "theta[5]" "theta[6]" "parameter" "maxTree" "sumDiv" "warmupT1" "warmupT2" "sampleT1" "sampleT2" "prior" "sigma" "N" "cross" "iteration" "pos"
6366.87899200547 6929.06771378576 4628.94657806116 2585.3626161002 4013.67095678358 4580.44641896736 2918.64921102437 6326.83174741921 5072.6856102494 6962.95788349806 7512.23011123105 3914.47336407519 2047.52036096347 9137.51609826798 6675.78424889305 8533.54373368012 3965.41028615463 2670.46178329395 6876.99364403103 "n_eff" 5 0 7.065 8.182 9.771 15.623 "SVNP" 0.1 100 0.5 2 8
0.999852145398319 1.00000450286644 1.00001198172818 1.00037943215568 0.999852812644387 0.999905989586373 1.00018319220843 0.999806711385102 0.999918088622212 0.999844802080033 0.999826900334519 1.00059445275687 1.00028021642244 0.999835938014406 0.99978213014346 0.999778299573029 1.00017813349025 0.999963489917456 0.999987886583642 "Rhat" 5 0 7.065 8.182 9.771 15.623 "SVNP" 0.1 100 0.5 2 8
6788.16463075623 6038.672293397 5818.307017762 4797.17960642537 5540.16655652839 5570.16566552944 5598.13209467866 7736.09349856045 6149.34792430995 7306.55294599376 6994.11847602416 7055.45212771089 5030.50841111637 8628.40674369422 6369.37456442501 5834.92413138989 7418.5514878645 2858.92014920415 8048.64855870358 "n_eff" 5 0 7.307 5.268 13.888 8.576 "SVNP" 0.1 100 0.2 1 2
1.00004382279551 0.999906044159429 0.999894976886014 1.00057813340463 0.999958876717093 0.99992468395262 1.00039643626313 0.999877684749611 1.00021238051088 0.999761219798684 0.999959987628982 0.999781831638552 1.00031805670961 0.999920329399427 0.999835803574949 1.00002559384359 0.999918015704663 1.00057170876677 1.0001912804469 "Rhat" 5 0 7.307 5.268 13.888 8.576 "SVNP" 0.1 100 0.2 1 2
4427.27206587387 3837.73083811102 5016.69123866405 1627.26557081724 2230.6001619584 4778.7338703838 2403.78032438954 5412.62014545621 3122.9226888936 5424.8539810058 5057.56952858923 4634.25601396609 2518.03010310436 4425.60724625407 3436.49155486304 7786.7904094753 1652.00070955735 1312.82799696041 2412.8455308814 "n_eff" 6 3 8.932 8.64 15.315 17.5 "SVNP" 0.1 100 0.2 2 2
1.00039069789601 0.999829562532962 1.00004377525762 1.00147075791704 1.00075442073227 1.00070362589189 1.00103636073849 1.0011158378751 0.999957232417823 1.000325267463 0.999870778317764 1.00069606874021 1.00228401574644 1.00030862584478 0.999929381360224 0.999810235306115 1.00053433240105 1.00063542810547 1.00113000605196 "Rhat" 6 3 8.932 8.64 15.315 17.5 "SVNP" 0.1 100 0.2 2 2
6229.37482265858 6350.94911172579 6442.16421904827 5764.35383763916 4363.32983023677 5922.45665015634 6701.60593258083 8516.98036094657 6699.90864900537 8027.12631861938 8193.24059237213 7027.16430527319 4795.95182607434 5992.66433330295 5756.13036045842 8845.46241014288 7297.37009297086 4150.33459904507 7932.70848838318 "n_eff" 4 0 11.215 8.577 14.484 19.256 "SVNP" 0.0316227766016838 200 0.2 1 6
0.999997090571821 1.00002453078003 1.0000769007985 0.999862813876433 0.999873914259679 0.999815564223122 1.00018085849961 0.999943023519276 0.999798460394412 1.00005640062953 0.99996189131512 0.999972941473054 0.999935064737705 1.00030452243851 0.999898707352537 1.00001677281748 0.999840161533842 1.00020170785568 1.00004532398053 "Rhat" 4 0 11.215 8.577 14.484 19.256 "SVNP" 0.0316227766016838 200 0.2 1 6
6486.08870775044 6217.680736053 6741.42909416763 3912.57092109134 3067.91731205656 4383.31981601266 4908.52530745598 8369.29075563076 6523.21040381326 8164.62410352405 8275.38655406859 6596.55037008254 2760.96875718305 6804.34325924434 6353.75421693795 7762.97583883149 5845.20908747422 2551.7213357401 6376.9749150768 "n_eff" 5 1 9.662 9.256 15.61 13.773 "SVNP" 0.0316227766016838 200 0.2 2 6
1.00045115617449 0.999846617738957 0.999937277096827 1.00046237921043 1.00039910710951 0.999850012156469 0.999929046268508 0.999880991359564 0.999928339670582 1.0004233300983 1.00010157177514 1.00002386529362 1.00011109070768 1.00018603814437 1.00016652277983 1.00010823652862 1.00041704328178 1.00029568725047 0.999971037329933 "Rhat" 5 1 9.662 9.256 15.61 13.773 "SVNP" 0.0316227766016838 200 0.2 2 6
